iter	MultiClass
0	2.045525547
1	1.870517914
2	1.745782235
3	1.641764462
4	1.561997499
5	1.491435907
6	1.436881228
7	1.388961681
8	1.317611225
9	1.261189818
10	1.214816276
11	1.17470103
12	1.140142287
13	1.110413007
14	1.086377013
15	1.051883106
16	1.025318399
17	1.00192514
18	0.9831691008
19	0.9630202238
20	0.9469425586
21	0.9292649848
22	0.9142231291
23	0.9015359897
24	0.8864043875
25	0.8753507039
26	0.8643085113
27	0.853119494
28	0.8433382101
29	0.8346989194
30	0.8255200685
31	0.8149731849
32	0.8060216764
33	0.7989291644
34	0.7894916367
35	0.784055926
36	0.7779310603
37	0.770603481
38	0.764112735
39	0.7590130031
40	0.7544308542
41	0.7484328361
42	0.7429229003
43	0.7368567724
44	0.7333617401
45	0.7290062253
46	0.7241272172
47	0.7185562666
48	0.7145869299
49	0.710455796
