iter	Passed	Remaining
0	12455	610302
1	24650	591619
2	36914	578321
3	49143	565145
4	61657	554920
5	73926	542124
6	86235	529734
7	99271	521176
8	111060	505940
9	121529	486118
10	131839	467431
11	143093	453129
12	154626	440089
13	165100	424543
14	177233	413544
15	187851	399183
16	198316	384968
17	209930	373210
18	220473	359720
19	229768	344653
20	241266	333177
21	252223	321011
22	263484	309308
23	274071	296910
24	283993	283993
25	294440	271791
26	304040	258997
27	314220	246887
28	324697	235126
29	336716	224477
30	347023	212691
31	357147	200895
32	369133	190159
33	381526	179542
34	392347	168148
35	403653	156976
36	414399	145599
37	425877	134487
38	437243	123324
39	447682	111920
40	459352	100833
41	470989	89712
42	483627	78730
43	493705	67323
44	505643	56182
45	515980	44867
46	528876	33758
47	541306	22554
48	552910	11283
49	563570	0
