season,abbreviation,team_name,win_total,total_games,as_of_date,source
2022,ARI,Arizona Diamondbacks,65.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,ATL,Atlanta Braves,90.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,CHC,Chicago Cubs,74.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,CIN,Cincinnati Reds,75.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,COL,Colorado Rockies,69.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,LAD,Los Angeles Dodgers,97.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,MIA,Miami Marlins,75.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,MIL,Milwaukee Brewers,88.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,NYM,New York Mets,90.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,PHI,Philadelphia Phillies,84.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,PIT,Pittsburgh Pirates,64.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,SD,San Diego Padres,87.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,SF,San Francisco Giants,85.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,STL,St. Louis Cardinals,85.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,WSH,Washington Nationals,70.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,BAL,Baltimore Orioles,62.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,BOS,Boston Red Sox,85.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,CWS,Chicago White Sox,91.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,CLE,Cleveland Guardians,75.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,DET,Detroit Tigers,78.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,HOU,Houston Astros,92.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,KC,Kansas City Royals,75.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,LAA,Los Angeles Angels,84.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,MIN,Minnesota Twins,80.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,NYY,New York Yankees,92.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,OAK,Oakland Athletics,71.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,SEA,Seattle Mariners,85.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,TB,Tampa Bay Rays,89.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
2022,TEX,Texas Rangers,74.5,162,2022-03-21,https://www.sportsbettingdime.com/mlb/futures/win-totals-best-odds/past-seasons/
