season,team_name,abbreviation,team_id,win_total,over_odds,under_odds,actual_wins,result
2013,Arizona Diamondbacks,AZ,109,82.5,-115,-115,81,Under
2013,Atlanta Braves,ATL,144,87.5,-115,-115,96,Over
2013,Baltimore Orioles,BAL,110,78.5,-115,-115,85,Over
2013,Boston Red Sox,BOS,111,83.0,100,-130,97,Over
2013,Chicago Cubs,CHC,112,72.5,-120,-110,66,Under
2013,Chicago White Sox,CWS,145,81.0,100,-130,63,Under
2013,Cincinnati Reds,CIN,113,91.0,100,-130,90,Under
2013,Cleveland Guardians,CLE,114,77.5,-140,110,92,Over
2013,Colorado Rockies,COL,115,70.5,-135,105,74,Over
2013,Detroit Tigers,DET,116,92.5,-115,-115,93,Over
2013,Houston Astros,HOU,117,59.5,100,-130,51,Under
2013,Kansas City Royals,KC,118,77.5,-115,-115,86,Over
2013,Los Angeles Angels,LAA,108,91.5,-115,-115,78,Under
2013,Los Angeles Dodgers,LAD,119,91.5,100,-130,92,Over
2013,Miami Marlins,MIA,146,63.0,-170,133,62,Under
2013,Milwaukee Brewers,MIL,158,81.0,-115,-115,74,Under
2013,Minnesota Twins,MIN,142,67.5,-160,125,66,Under
2013,New York Mets,NYM,121,75.0,100,-130,74,Under
2013,New York Yankees,NYY,147,84.5,-115,-115,85,Over
2013,Oakland Athletics,OAK,133,84.5,-115,-115,96,Over
2013,Philadelphia Phillies,PHI,143,84.0,-115,-115,73,Under
2013,Pittsburgh Pirates,PIT,134,77.0,-115,-115,94,Over
2013,San Diego Padres,SD,135,74.5,100,-130,76,Over
2013,San Francisco Giants,SF,137,88.0,-105,-125,76,Under
2013,Seattle Mariners,SEA,136,77.5,-120,-110,71,Under
2013,St. Louis Cardinals,STL,138,86.0,-110,-120,97,Over
2013,Tampa Bay Rays,TB,139,86.0,-130,100,91,Over
2013,Texas Rangers,TEX,140,86.5,-130,100,91,Over
2013,Toronto Blue Jays,TOR,141,89.0,-120,-110,74,Under
2013,Washington Nationals,WSH,120,92.0,100,-130,86,Under
2014,Arizona Diamondbacks,AZ,109,81.5,-120,-110,64,Under
2014,Atlanta Braves,ATL,144,87.5,130,-160,79,Under
2014,Baltimore Orioles,BAL,110,81.5,-105,-125,96,Over
2014,Boston Red Sox,BOS,111,88.0,-110,-120,71,Under
2014,Chicago Cubs,CHC,112,70.0,-110,-120,73,Over
2014,Chicago White Sox,CWS,145,76.5,130,-160,73,Under
2014,Cincinnati Reds,CIN,113,84.5,-120,-110,76,Under
2014,Cleveland Guardians,CLE,114,80.5,-150,120,85,Over
2014,Colorado Rockies,COL,115,76.5,-145,115,66,Under
2014,Detroit Tigers,DET,116,90.0,-120,-110,90,Push
2014,Houston Astros,HOU,117,62.5,-160,130,70,Over
2014,Kansas City Royals,KC,118,82.0,-120,-110,89,Over
2014,Los Angeles Angels,LAA,108,86.5,-110,-120,98,Over
2014,Los Angeles Dodgers,LAD,119,92.5,-125,-105,94,Over
2014,Miami Marlins,MIA,146,69.5,-120,-110,77,Over
2014,Milwaukee Brewers,MIL,158,80.0,-115,-115,82,Over
2014,Minnesota Twins,MIN,142,70.5,110,-140,70,Under
2014,New York Mets,NYM,121,74.0,-120,-110,79,Over
2014,New York Yankees,NYY,147,87.0,135,-165,84,Under
2014,Oakland Athletics,OAK,133,88.5,140,-170,88,Under
2014,Philadelphia Phillies,PHI,143,76.5,-120,-110,73,Under
2014,Pittsburgh Pirates,PIT,134,84.5,115,-145,88,Over
2014,San Diego Padres,SD,135,79.0,110,-140,77,Under
2014,San Francisco Giants,SF,137,86.5,100,-130,88,Over
2014,Seattle Mariners,SEA,136,81.0,100,-130,87,Over
2014,St. Louis Cardinals,STL,138,91.5,-110,-120,90,Under
2014,Tampa Bay Rays,TB,139,88.0,-115,-115,77,Under
2014,Texas Rangers,TEX,140,87.0,-115,-115,67,Under
2014,Toronto Blue Jays,TOR,141,80.5,-115,-115,83,Over
2014,Washington Nationals,WSH,120,89.5,-150,120,96,Over
2015,Arizona Diamondbacks,AZ,109,72.5,120,-140,79,Over
2015,Atlanta Braves,ATL,144,73.5,-105,-115,67,Under
2015,Baltimore Orioles,BAL,110,82.5,-130,110,81,Under
2015,Boston Red Sox,BOS,111,86.0,-110,-110,78,Under
2015,Chicago Cubs,CHC,112,83.0,-125,105,97,Over
2015,Chicago White Sox,CWS,145,81.5,-110,-110,76,Under
2015,Cincinnati Reds,CIN,113,77.5,120,-140,64,Under
2015,Cleveland Guardians,CLE,114,84.5,-115,-105,81,Under
2015,Colorado Rockies,COL,115,72.5,-115,-105,68,Under
2015,Detroit Tigers,DET,116,83.5,100,-120,74,Under
2015,Houston Astros,HOU,117,76.5,100,-120,86,Over
2015,Kansas City Royals,KC,118,80.5,-120,100,95,Over
2015,Los Angeles Angels,LAA,108,87.5,-110,-110,85,Under
2015,Los Angeles Dodgers,LAD,119,92.5,-105,-115,92,Under
2015,Miami Marlins,MIA,146,81.5,-110,-110,71,Under
2015,Milwaukee Brewers,MIL,158,78.5,-115,-105,68,Under
2015,Minnesota Twins,MIN,142,71.5,-115,-105,83,Over
2015,New York Mets,NYM,121,82.5,-120,100,90,Over
2015,New York Yankees,NYY,147,81.5,-120,100,87,Over
2015,Oakland Athletics,OAK,133,82.5,-110,-110,68,Under
2015,Philadelphia Phillies,PHI,143,67.5,100,-120,63,Under
2015,Pittsburgh Pirates,PIT,134,85.0,-120,100,98,Over
2015,San Diego Padres,SD,135,83.5,110,-130,74,Under
2015,San Francisco Giants,SF,137,82.5,-105,-115,84,Over
2015,Seattle Mariners,SEA,136,87.5,-115,-105,76,Under
2015,St. Louis Cardinals,STL,138,87.5,-135,115,100,Over
2015,Tampa Bay Rays,TB,139,79.5,-115,-105,80,Over
2015,Texas Rangers,TEX,140,75.5,110,-130,88,Over
2015,Toronto Blue Jays,TOR,141,82.5,-130,110,93,Over
2015,Washington Nationals,WSH,120,94.0,-125,105,83,Under
2016,Arizona Diamondbacks,AZ,109,81.5,-115,-105,69,Under
2016,Atlanta Braves,ATL,144,65.5,-150,130,68,Over
2016,Baltimore Orioles,BAL,110,79.5,145,-165,89,Over
2016,Boston Red Sox,BOS,111,86.5,-135,115,93,Over
2016,Chicago Cubs,CHC,112,93.5,-130,110,103,Over
2016,Chicago White Sox,CWS,145,80.5,-135,115,78,Under
2016,Cincinnati Reds,CIN,113,70.5,125,-145,68,Under
2016,Cleveland Guardians,CLE,114,85.5,-145,125,94,Over
2016,Colorado Rockies,COL,115,71.5,115,-135,75,Over
2016,Detroit Tigers,DET,116,81.5,-135,115,86,Over
2016,Houston Astros,HOU,117,88.5,130,-150,84,Under
2016,Kansas City Royals,KC,118,84.5,100,-120,81,Under
2016,Los Angeles Angels,LAA,108,80.5,115,-135,74,Under
2016,Los Angeles Dodgers,LAD,119,89.5,-120,100,91,Over
2016,Miami Marlins,MIA,146,78.5,-165,145,79,Over
2016,Milwaukee Brewers,MIL,158,70.5,120,-140,73,Over
2016,Minnesota Twins,MIN,142,79.5,-115,-105,59,Under
2016,New York Mets,NYM,121,89.5,-140,120,87,Under
2016,New York Yankees,NYY,147,85.5,105,-125,84,Under
2016,Oakland Athletics,OAK,133,75.5,-145,125,69,Under
2016,Philadelphia Phillies,PHI,143,64.5,-160,140,71,Over
2016,Pittsburgh Pirates,PIT,134,86.5,140,-160,78,Under
2016,San Diego Padres,SD,135,73.5,135,-155,68,Under
2016,San Francisco Giants,SF,137,88.5,-120,100,87,Under
2016,Seattle Mariners,SEA,136,82.5,-135,115,86,Over
2016,St. Louis Cardinals,STL,138,87.5,140,-160,86,Under
2016,Tampa Bay Rays,TB,139,82.5,110,-130,68,Under
2016,Texas Rangers,TEX,140,83.5,-115,-105,95,Over
2016,Toronto Blue Jays,TOR,141,86.5,-135,115,89,Over
2016,Washington Nationals,WSH,120,88.5,-125,105,95,Over
2017,Arizona Diamondbacks,AZ,109,77.5,-125,105,93,Over
