season,team_name,projected_wins,total_games,source
2022,New York Yankees,90.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-american-league-edition/
2022,Toronto Blue Jays,89.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-american-league-edition/
2022,Tampa Bay Rays,88.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-american-league-edition/
2022,Boston Red Sox,83.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-american-league-edition/
2022,Baltimore Orioles,64.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-american-league-edition/
2022,Chicago White Sox,88.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-american-league-edition/
2022,Cleveland Guardians,78.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-american-league-edition/
2022,Detroit Tigers,76.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-american-league-edition/
2022,Minnesota Twins,75.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-american-league-edition/
2022,Kansas City Royals,74.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-american-league-edition/
2022,Houston Astros,91.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-american-league-edition/
2022,Los Angeles Angels,81.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-american-league-edition/
2022,Oakland Athletics,81.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-american-league-edition/
2022,Seattle Mariners,80.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-american-league-edition/
2022,Texas Rangers,73.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-american-league-edition/
2022,Atlanta Braves,90.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-national-league-edition/
2022,New York Mets,88.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-national-league-edition/
2022,Philadelphia Phillies,82.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-national-league-edition/
2022,Miami Marlins,80.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-national-league-edition/
2022,Washington Nationals,75.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-national-league-edition/
2022,St. Louis Cardinals,89.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-national-league-edition/
2022,Milwaukee Brewers,88.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-national-league-edition/
2022,Cincinnati Reds,80.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-national-league-edition/
2022,Chicago Cubs,76.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-national-league-edition/
2022,Pittsburgh Pirates,68.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-national-league-edition/
2022,Los Angeles Dodgers,94.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-national-league-edition/
2022,San Diego Padres,90.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-national-league-edition/
2022,San Francisco Giants,81.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-national-league-edition/
2022,Arizona Diamondbacks,72.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-national-league-edition/
2022,Colorado Rockies,66.0,162,https://blogs.fangraphs.com/the-lockout-projected-zips-standings-national-league-edition/
2023,New York Yankees,89.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-american-league/
2023,Toronto Blue Jays,88.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-american-league/
2023,Tampa Bay Rays,86.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-american-league/
2023,Baltimore Orioles,80.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-american-league/
2023,Boston Red Sox,79.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-american-league/
2023,Cleveland Guardians,83.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-american-league/
2023,Minnesota Twins,80.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-american-league/
2023,Chicago White Sox,74.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-american-league/
2023,Detroit Tigers,71.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-american-league/
2023,Kansas City Royals,70.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-american-league/
2023,Houston Astros,90.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-american-league/
2023,Seattle Mariners,85.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-american-league/
2023,Los Angeles Angels,85.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-american-league/
2023,Texas Rangers,79.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-american-league/
2023,Oakland Athletics,72.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-american-league/
2023,Atlanta Braves,94.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-national-league/
2023,New York Mets,94.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-national-league/
2023,Philadelphia Phillies,85.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-national-league/
2023,Miami Marlins,75.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-national-league/
2023,Washington Nationals,64.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-national-league/
2023,St. Louis Cardinals,91.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-national-league/
2023,Milwaukee Brewers,83.0,162,https://blogs.fangraphs.com/the-2023-start-of-spring-zips-projected-standings-national-league/
